"Commissioner","Date","Location","Entity","Subject"
"Valdis Dombrovskis","11/12/2014","AmCham EU office, on Avenue des Arts 53, 1000 Brussels","United Technologies Corporation                                                                                    American Chamber of Commerce to the European Union                                                                                    SAS Institute                                                                                    Marco Comastri, President EMEA, CA Technologies                                                                                    3M                                                                                    Dell Inc                                                                                    Nigel Lewis, Vice President, EAME Distribution Services Division, Caterpillar                                                                                    UPS Europe SPRL/BVBA                                                                                    Intel Corporation                                                                                    Julián Nebreda, Corporate Vice President for Europe, Middle East, Africa & CIS, AES                                                                                    Dirk Ostijn, Regional Head Western Europe & Chief Executive Officer for Metlife Europe Limited, Metlife                                                                                    Dow Corning Europe                                                                                    Hewlett-Packard                                                                                    Accenture International SARL                                                                                    Oracle                                                                                    IBM Corporation","Presentation of the Annual Growth Survey 2015 outlining the main priorities for the jobs and growth agenda /in the context of the flagship conference ‘Reinvigorating the European Economy: Policies to Foster Jobs, Growth and Innovation’"
"Kristalina Georgieva","21/03/2015","BERL","Open Society European Policy Institute","Meeting with George Soros in margins of GMF Forum Brussels"
"Kristalina Georgieva","17/02/2015","BERL","Transparency International Liaison Office to the European Union","Meeting with Carl Dolan, Director of Transparency International, Brussels office"
"Kristalina Georgieva","27/01/2015","Brussels","International Rescue Committee Inc","Budgetary situation of EU external assistance; hot crises"
"Kristalina Georgieva","16/01/2015","BERL","Vienna Economic Forum","Meeting with Dr Elena Kirtcheva-Discussing eventual participation of VP Georgieva in Vienna Economic Forum"
"Johannes Hahn","19/03/2015
            	     
            	     	(Cancelled)","Brussels","Foundation for an Open Society DOTS","Situation in Ukraine and support from the EU"
"Johannes Hahn","19/03/2015","Brussels","Foundation for an Open Society DOTS","Situation in Ukraine and support from the EU"
"Johannes Hahn","19/03/2015
            	     
            	     	(Cancelled)","Brussels","Foundation for an Open Society DOTS","Situation in Ukraine and support from the EU"
"Johannes Hahn","18/02/2015","Pristina, Kosovo","Kosovo Business Community","Meeting with Business Community"
"Johannes Hahn","03/12/2014","Brussels","TUSIAD","Economic development in Turkey"
"Jonathan Hill","08/05/2015","London","The Investment Association","Financial Services Policy"
"Jonathan Hill","08/05/2015","London","Association of British Insurers","Financial Services Policy"
"Jonathan Hill","01/05/2015","London","Which?","Financial Services Policy"
"Jonathan Hill","21/04/2015","Brussels","Institute of Directors","Financial Service Policy"
"Jonathan Hill","17/04/2015","London","EEF, the manufacturers' organisation","Financial Services Policy"
"Jonathan Hill","16/04/2015","Brussels","Rolls Royce","Financial Services Policy"
"Jonathan Hill","15/04/2015","Brussels","Schweizerische Bankiervereinigung","Introductory Meeting"
"Jonathan Hill","30/03/2015","Brussels","APG Groep N.V","Asset management issues"
"Jonathan Hill","26/03/2015","Belgium, Brussels, BERL","Deutsche Bank AG","Banking Structural Reform"
"Jonathan Hill","25/03/2015","Brussels","EuropeanIssuers","Capital Markets Union"
"Jonathan Hill","18/03/2015","Brussels","Association of European Businesses","Financial Services Policy"
"Jonathan Hill","17/03/2015","Frankfurt am Main, Germany","Bundesverband deutscher Banken e.V.","Financial regulation"
"Jonathan Hill","16/03/2015","Frankfurt am Main, Germany","Deutsche Börse AG","Central counterparties"
"Jonathan Hill","16/03/2015","Frankfurt am Main, Germany","Bettervest GmbH                                                                                    wetransform GmbH                                                                                    Brain AG","Capital markets union"
"Jonathan Hill","13/03/2015","London","The Goldman Sachs Group, Inc.","Financial Services Policy"
"Jonathan Hill","13/03/2015","London","Open Europe","Financial Services Policy"
"Jonathan Hill","12/03/2015","Edinburgh","National Association of Pension Funds","Financial Services Policy"
"Jonathan Hill","06/03/2015","Belgium, Brussels, BERL","Union européenne de l'Artisanat et des petites et moyennes entreprises, aisbl","Capital Markets Union + SMEs"
"Jonathan Hill","05/03/2015","Belgium, Brussels, BERL","BUSINESSEUROPE","Capital Markets Union + industry"
"Jonathan Hill","05/03/2015","Brussels","UniCredit","Banking issues"
"Jonathan Hill","04/03/2015","Brussels","Österreichischer Sparkassenverband","Introductory meeting, Capital Markets Union, Retail financial services"
"Jonathan Hill","03/03/2015","Brussels","ING Group","Overview of Financial Services policy"
"Jonathan Hill","27/02/2015","New York","Intercontinental Exchange","EU and US Regulatory Agenda in Financial Services"
"Jonathan Hill","27/02/2015","New York","BlackRock","EU and US Regulatory Agenda in Financial Services"
"Jonathan Hill","27/02/2015","New York","Managed Funds Association","EU and US Regulatory Agenda in Financial Services"
"Jonathan Hill","26/02/2015","New York","The Goldman Sachs Group, Inc.","EU and US Regulatory Agenda in Financial Services"
"Jonathan Hill","20/02/2015","London","Barclays PLC","Financial Services Policy"
"Jonathan Hill","20/02/2015","London","Morgan Stanley","Financial Services Policy"
"Jonathan Hill","20/02/2015","London","Financial Reporting Council","Financial Services Policy"
"Jonathan Hill","19/02/2015","Brussels","Euronext","Markets in Financial Instruments Directive (MiFID)/Capital Markets Union/European Market Infrastructure Regulation (EMIR)"
"Jonathan Hill","18/02/2015","Brussels","Fédération Française des Sociétés d'Assurances","IORP II, Solvency II, CMU"
"Jonathan Hill","18/02/2015","Brussels","Bundesverband Investment und Asset Management e.V.","Markets in Financial Instruments Directive (MiFID)/Capital Markets Union (CMU)"
"Jonathan Hill","13/02/2015","Brussels","KfW Bankengruppe","Banking and markets"
"Jonathan Hill","12/02/2015","Brussels","Society for Worldwide Interbank Financial Telecommunication","Financial Services Policy"
"Jonathan Hill","05/02/2015","Brussels","BP p.l.c.","Introductory Meeting"
"Jonathan Hill","30/01/2015","Brussels","Aviva Plc","Capital Markets Union"
"Jonathan Hill","30/01/2015","Brussels","FIA Europe","Introductory Meeting"
"Jonathan Hill","29/01/2015","Brussels","Investor AB","Corporate governance; long-term investment access to risk capital for European companies"
"Jonathan Hill","29/01/2015","Brussels","European Union Chamber of Commerce in China","Introductory Meeting"
"Jonathan Hill","29/01/2015","Brussels","European Fund and Asset Management Association","CMU, Long-term savings, Product disclosure"
"Jonathan Hill","28/01/2015","Brussels","TheCityUK","Financial Services Policy"
"Jonathan Hill","27/01/2015","Brussels","Association for Financial Markets in Europe","Capital Markets Union"
"Jonathan Hill","27/01/2015","Brussels","Commerzbank AG","BSR, TLAC, CMU"
"Jonathan Hill","27/01/2015","Brussels","BlackRock","ELTIF, CMU"
"Jonathan Hill","26/01/2015","Brussels","International Capital Market Association","Capital Markets Union"
"Jonathan Hill","23/01/2015","London, UK","New Financial","Financial Services Policy"
"Jonathan Hill","23/01/2015","London, UK","London Stock Exchange Group","Financial Service Policy"
"Jonathan Hill","23/01/2015
            	     
            	     	(Cancelled)","London. UK","London Stock Exchange","Financial Services Policy"
"Jonathan Hill","23/01/2015","London","London Stock Exchange Group","Introductory Meeting"
"Jonathan Hill","22/01/2015","Brussels","BNP PARIBAS","Financial Services Policy 2015 especially capital markets union"
"Jonathan Hill","21/01/2015","Brussels","Western Union Company","Financial Services Policy"
"Jonathan Hill","20/01/2015","Brussels","UBS AG","Implementation/completion of the financial reform/prospects for further financial regulation and CMU"
"Jonathan Hill","19/01/2015","Brussels, BERL 10th floor","International Financial Reporting Standards (IFRS) Foundation","IFRS"
"Jonathan Hill","12/01/2015","Brussels","EUROPEAN TRADE UNION CONFEDERATION","Introductory meeting + discussion of priorities for 2015 in financial services"
"Jonathan Hill","17/12/2014","Brussels","Insurance Europe","Insurers' major role as institutional investors in the European economy"
"Jonathan Hill","15/12/2014","Brussels","HSBC Holdings PLC","Bank stress tests, LCR, CMU, Bank structural reform, TLAC"
"Jonathan Hill","09/12/2014","Brussels","Prime Collateralised Securities (PCS) UK Limited","Securitisation aspects of CMU and CMU more broadly, PCS initiative"
"Jonathan Hill","09/12/2014","Brussels, Belgium","European Banking Federation","Financial services: priorities for 2015 including Capital Markets Union"
"Jonathan Hill","04/12/2014","Brussels - Belgium","EUROCHAMBRES – Association of European Chambers of Commerce and Industry","Financial and capital markets policy"
"Jonathan Hill","04/12/2014","Brussels","Intercontinental Exchange","Introductory meeting"
"Jonathan Hill","02/12/2014","Brussels","London Stock Exchange Group","Financial Services Policy"
"Jonathan Hill","02/12/2014","Brussels","Federation of European Securities Exchanges","Capital Markets Union"
"Phil Hogan","05/02/2015","Brussels","Landbrug & Fødevarer - Danish Agriculture and Food Council","Simplification, Greening, Fat tax, Pig price crisis, ammonia emissions"
"Phil Hogan","23/01/2015","Dublin","Northern Ireland Meat Exporters Association","Current Agricultural Issues"
"Phil Hogan","23/01/2015","DUBLIN","Ibec","Commissioner work programme for 2015 and policy priorities for the 5 year term as Commissionr."
"Phil Hogan","23/01/2015","Dublin, Ireland","Ibec","Meeting board of Directors of IBEC to discuss Commission Work Programme"
"Phil Hogan","23/01/2015","Dublin, Ireland","Northern Ireland Meat Exporters Association","Nomad cattle and exporting to 3rd countries"
"Phil Hogan","22/01/2015","Brussels","European Milk Board","Dairy policy. Supply management. Increased production costs and exodus of European dairy farmers out of the industry."
"Phil Hogan","17/01/2015","Berlin","Deutscher Bauernverband","General Presentation by the Bauernverband: handing over of simplifiction proposals and explanation of those proposals"
"Phil Hogan","09/01/2015","Brussels","Ulster Farmers Union","Current Agriculture Issues"
"Phil Hogan","18/12/2014","Brussels","Irish Cattle & Sheep Farmers' Association Ltd","Ireland Rural development programme. LPIS"
"Phil Hogan","12/12/2014","Brussels","Irish Farmers' Association","Ireland Rural Development Programme, Milk market measures, Commonage problems in Ireland"
"Phil Hogan","10/12/2014","Brussels","Danish Dairy Board Brussels s.a.","Milk market measures. Debt levels in Denmark"
"Phil Hogan","05/12/2014","Brussels","European Council of Young farmers","Current Agriculture Issues"
"Phil Hogan","04/12/2014","Brussels","European Farmers","Simplification, Farmers share of retail, TTIP, Commissioners address to COPA Presidium"
"Phil Hogan","03/12/2014","US Dairy Export Council","US Dairy Export Council","TTIP & Geographical indications"
"Phil Hogan","02/12/2014","Brussels","Irish Creamery Milk Suppliers Association","Milk price pressures for 2015, superlevy fines, measures to support to dairy farmers, TTIP"
"Věra Jourová","23/03/2015","Brussels, Belgium","CECED (European Committee of Domestic Equipment Manufacturers)","Consumer product safety and long-term planning"
"Věra Jourová","23/03/2015","Brussels, Belgium","Council of Bars and Law Societies of Europe","Presentation of the activites of the Council of Bars and Law Societies of Europe (CCBE), including CCBE's position on EPPO, data protection, access to a lawyer"
"Věra Jourová","19/03/2015","Brussels, Belgium","Open Society European Policy Institute","Roma issues"
"Věra Jourová","18/03/2015","Brussels, Belgium","EUROCHAMBRES – Association of European Chambers of Commerce and Industry","Discussion on long-term priorities"
"Věra Jourová","11/03/2015","Brussels, Belgium","European Federation of National Associations of Measurement, Testing and Analytical Laboratories (EUROLAB)","Standardisation and international agreements"
"Věra Jourová","16/02/2015","Brussels, Belgium","Open Society European Policy Institute                                                                                    European Network Against Racism                                                                                    Platform of European Social NGOs                                                                                    Amnesty International European Institutions Office                                                                                    European Women's Lobby                                                                                    The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association                                                                                    AGE Platform Europe                                                                                    The International Lesbian, Gay, Bisexual, Transgender & Queer Youth & Student Organisation                                                                                    European Disability Forum","Equal Treatment Directive"
"Věra Jourová","10/02/2015","Strasbourg, France","ČEZ, a.s.","Energy Union and Women on Boards proposal"
"Věra Jourová","05/02/2015","Brussels, Belgium","Amnesty International European Institutions Office","Fundamental Rights and Hate speech"
"Věra Jourová","03/02/2015","Brussels, Belgium","European Judicial Training Network","Presentation of EJTN activities"
"Věra Jourová","02/02/2015","Brussels, Belgium","Deutsche Telekom                                                                                    Orange                                                                                    Telefonica, S.A.","Digital Single Market"
"Věra Jourová","26/01/2015","Prague, Czech Republic","Notářská komora České republiky","Commission's legislative actions and proposals on public documents"
"Věra Jourová","22/01/2015","Brussels, Belgium","ERGO Network","Presentation of the network, exchange of views"
"Věra Jourová","20/01/2015","Brussels, Belgium","Microsoft Corporation","Data protection"
"Věra Jourová","19/01/2015","Brussels, Belgium","European Law Institute","ELI-EU relations, EU projects"
"Věra Jourová","19/01/2015","Brussels, Belgium","Google","Data protection"
"Věra Jourová","16/01/2015","PRAGUE, CZECH REPUBLIC","SODEXO                                                                                    ČEZ, a.s.                                                                                    GlaxoSmithKline                                                                                    Microsoft Corporation                                                                                    IBM Corporation                                                                                    ABB                                                                                    Accenture International SARL                                                                                    Novartis International AG                                                                                    Erste Group Bank AG","Round Table on Gender Diversity"
"Věra Jourová","14/01/2015","Brussels, Belgium","BUSINESSEUROPE","Company law, Consumer protection/Product Safety, Data Protection, Gender Equality"
"Věra Jourová","09/01/2015","Brussels, Belgium","The European Region of the International Lesbian, Gay, Bisexual, Trans and Intersex Association                                                                                    AGE Platform Europe                                                                                    European Disability Forum                                                                                    Platform of European Social NGOs                                                                                    European Women's Lobby                                                                                    International Federation for Human Rights                                                                                    European Council on Refugees and Exiles                                                                                    European Network Against Racism                                                                                    European Youth Forum                                                                                    European Network on Religion and Belief                                                                                    Human Rights Watch","Roundtable with NGOs on fundamental rights and non-discrimination"
"Věra Jourová","18/12/2014","Brussels, Belgium","European Women's Lobby","Gender equality"
"Věra Jourová","17/12/2014","Brussels, Belgium","Bureau Européen des Unions de Consommateurs","Consumer protection"
"Věra Jourová","09/12/2014","Brussels, Belgium","Open Society European Policy Institute","Non-discrimination policies"
"Jyrki Katainen","13/04/2015","Brussels","Confederation of European Paper Industries","Paper Industry; Competitiveness"
"Jyrki Katainen","30/03/2015","Brussels","UNI Europa","Good quality services & jobs"
"Jyrki Katainen","26/03/2015","Brussels","Bureau Européen des Unions de Consommateurs","EU Consumer affairs"
"Jyrki Katainen","20/03/2015","Brussels","Insurance Europe","Investment Initiative"
"Jyrki Katainen","19/03/2015","Brussels","EUROCHAMBRES – Association of European Chambers of Commerce and Industry","Investment Package and SMEs"
"Jyrki Katainen","11/03/2015","Strasbourg","Neste Oil","Investment Package"
"Jyrki Katainen","09/03/2015","Brussels","European Round Table of Industrialists","Industrial policy"
"Jyrki Katainen","09/03/2015","Brussels","Elisa Oyj","Digital Single Market"
"Jyrki Katainen","13/02/2015","Brussels","Green 10","Green growth and Circular Economy"
"Jyrki Katainen","12/02/2015","Brussels","General Electric Company","Investment Plan"
"Jyrki Katainen","09/02/2015","Brussels","Inmarsat Global Ltd","Investments and competitiveness"
"Jyrki Katainen","04/02/2015","Brussels","TeliaSonera AB","Digital Single Market"
"Jyrki Katainen","04/02/2015","Brussels","Association des Constructeurs Européens d'Automobiles","Regulatory framework for automotive"
"Jyrki Katainen","03/02/2015","Brussels","EuropaBio","Bioeconomy"
"Jyrki Katainen","03/02/2015","Brussels","ChinaEU","ICT investments"
"Jyrki Katainen","28/01/2015","Brussels","Gasum Oy","Energy Policy"
"Jyrki Katainen","28/01/2015","Brussels","Rovio","Digital Single Market"
"Jyrki Katainen","27/01/2015","Brussels","Nokia","Digital Single Market"
"Jyrki Katainen","23/01/2015","Davos, Switzerland","BANCO BILBAO VIZCAYA ARGENTARIA","Investment plan"
"Jyrki Katainen","23/01/2015","Davos, Switzerland","Bank of America","Investment plan"
"Jyrki Katainen","23/01/2015","Davos, Switzerland","BT Group plc                                                                                    Confederation of British Industry","Investment plan"
"Jyrki Katainen","23/01/2015","Davos, Switzerland","Institute of International Finance","Investment plan"
"Jyrki Katainen","23/01/2015","Davos, Switzerland","Microsoft Corporation","Investment plan"
"Jyrki Katainen","12/01/2015","Brussels","Meridiam","Investment initiative"
"Jyrki Katainen","09/01/2015","Brussels","Eurometaux","Industrial policy and metals industry"
"Jyrki Katainen","15/12/2014","Bucharest","MICROELECTRONICA S.A.","Investment Initiative Roadshow"
"Jyrki Katainen","13/12/2014","Janakkala","Nokia","Investment initiative"
"Jyrki Katainen","12/12/2014","Fiskars","Outotec Oyj","Investment initiative"
"Jyrki Katainen","11/12/2014","Brussels","Confederation of Finnish Industries EK","Industrial Policy"
"Jyrki Katainen","10/12/2014","Brussels","Vodafone Belgium SA","Investments and innovations in the digital sector"
"Jyrki Katainen","04/12/2014","Brussels","Maa- ja metsätaloustuottajain Keskusliitto – Central Union of Agricultural Producers and Forest Owners","Investment initiative"
"Jyrki Katainen","03/12/2014","Brussels","Suomen Yrittäjät ry","SME Policy"
"Jyrki Katainen","02/12/2014","Brussels","Akava ry","Finnish Labour Unions"
"Jyrki Katainen","01/12/2014","Brussels","Finnish Innovation Fund Sitra","Climate report, renewable energy"
"Cecilia Malmström","21/04/2015","Brussels","Swedish Institute of International Affairs","possibility of cooperation on trade matters"
"Cecilia Malmström","26/03/2015","Bruxelles","Business Europe Day","Investment"
"Cecilia Malmström","26/03/2015","Bruxelles","Mouvement des Entreprises de France","TTIP"
"Cecilia Malmström","23/03/2015","Brussels","European Environmental Bureau                                                                                    Transport and Environment (European Federation for Transport and Environment)","TTIP and Environment"
"Cecilia Malmström","23/03/2015","Brussels","European Policy Centre","TTIP"
"Cecilia Malmström","23/03/2015","Brussels","European Environmental Bureau                                                                                    Transport and Environment (European Federation for Transport and Environment)","TTIP; Environment; Transport"
"Cecilia Malmström","23/03/2015","Brussels","European Policy Centre","TTIP"
"Cecilia Malmström","20/03/2015","Brussels","German Marshall Fund Brussels","TTIP"
"Cecilia Malmström","20/03/2015","Brussels","German Marshall Fund","TTIP"
"Cecilia Malmström","19/03/2015","Brussels","Friends of Europe","TTIP"
"Cecilia Malmström","19/03/2015","Brussels","CM meeting with Harvard Kennedy School + SciencesPo Paris","General presentation"
"Cecilia Malmström","13/03/2015","Brussels","PRIME PR agency","Breakfast on TTIP"
"Cecilia Malmström","13/03/2015","Brussels","Volvo Car Corporation AB","TTIP"
"Cecilia Malmström","13/03/2015","Stockholm","International Chamber of Commerce","European Policies; Business in Global Markets"
"Cecilia Malmström","13/03/2015","Brussels","Private Business University, Japan","TTIP"
"Cecilia Malmström","13/03/2015","Brussels","International Chamber of Commerce","TTIP"
"Cecilia Malmström","12/03/2015","Brussels","Bruegel","TTIP"
"Cecilia Malmström","09/03/2015","Brussels","European Centre for International Political economy","WTO post-Bali"
"Cecilia Malmström","05/03/2015","Brussels","The European Steel Association","TTIP"
"Cecilia Malmström","04/03/2015","Brussels","Scania AB (publ)","TTIP; Trade policy; Brazil"
"Cecilia Malmström","05/02/2015","Brussels","EUROCHAMBRES – Association of European Chambers of Commerce and Industry","TTIP and SME's, European Economic Diplomacy"
"Cecilia Malmström","03/02/2015","Brussels","Alcatel-Lucent","Situation in the telecoms' market and TTIP"
"Cecilia Malmström","02/02/2015","Brussels","Stop TTIP","TTIP/CETA"
"Cecilia Malmström","02/02/2015","Brussels","European Heart Network","Health service and TTIP"
"Cecilia Malmström","02/02/2015","Brussels","BUSINESSEUROPE                                                                                    EUROCHAMBRES – Association of European Chambers of Commerce and Industry                                                                                    EUROPEAN SERVICES FORUM                                                                                    European Round Table of Industrialists                                                                                    American Chamber of Commerce to the European Union                                                                                    Trans-Atlantic Business Council","Speech at Business Alliance for TTIP's Welcome Reception"
"Cecilia Malmström","29/01/2015","Brussels","Investor AB","General EU-Sweden overview and political situation"
"Cecilia Malmström","27/01/2015","Brussels","BUSINESSEUROPE                                                                                    EU–China Business Association","Bilateral investment agreement"
"Cecilia Malmström","27/01/2015","Brussels","European Union Chamber of Commerce in China","EU-China"
"Cecilia Malmström","23/01/2015","Davos, Switzerland","Trans-Atlantic Business Council","TTIP"
"Cecilia Malmström","23/01/2015","Davos Switzerland","Google","Digital Agenda and Trade Policy"
"Cecilia Malmström","19/01/2015","Brussels","European Round Table of Industrialists","TTIP"
"Cecilia Malmström","19/01/2015","Brussels","European Round Table of Industrialists","TTIP"
"Cecilia Malmström","16/01/2015","Brussels","TTIP Advisory Group","TTIP"
"Cecilia Malmström","15/01/2015","Brussels","EUROPEAN TRADE UNION CONFEDERATION","TTIP"
"Cecilia Malmström","15/01/2015","Brussels","UNIFE","EU-Japan FTA negotiations, China's policy on railways within China, within the EU and in third countries' markets and TTIP negotiations"
"Cecilia Malmström","12/01/2015","Brussels","Nordic Hunters' Alliance","Trade in seal products"
"Cecilia Malmström","19/12/2014","Bruxelles","CEEP - European Centre of Employers and Enterprises providing Public Services","Services of economic general services"
"Cecilia Malmström","11/12/2014","Bruxelles","Open Europe","Speech on TTIP"
"Cecilia Malmström","11/12/2014","Brussels","Open Europe                                                                                    Friedrich-Naumann Stiftung","TTIP"
"Cecilia Malmström","08/12/2014","Washington DC","Transatlantic Consumer Dialogue","TTIP"
"Cecilia Malmström","05/12/2014","Bruxelles","Platform of European Social NGOs","SGI (Services of general interest) TTIP-TISA-ISDS"
"Cecilia Malmström","04/12/2014","Bruxelles","Civil society Dialogue meeting","Trade Governance - transparency- stakeholders engagement-event webstreamed"
"Neven Mimica","05/03/2015","Brussels, Belgium","European Disability Forum","The inclusion of persons with disabilities in lower and middle income countries through Commissioner’s work over the next 5 years."
"Neven Mimica","16/02/2015","Brussels,  Belgium","Cooperatives Europe","Present  the PFD and to bring attention the important role the Group  plays in the dialogue with EU institutions on EU development policy issues"
"Neven Mimica","09/02/2015","Brussels, Belgium","International Organization for Migration","Migration policy to discuss general matters regarding the new migration policy of the European Commission"
"Neven Mimica","04/02/2015","Brussels, Belgium","Eni S.p.A.","Discuss private sector engagement for sustainable development"
"Carlos  Moedas","15/04/2015","Brussels","Lindau Nobel Laureate Meetings","Preparation of the 2015 Lindau Meeting/ financing"
"Carlos  Moedas","09/04/2015","Brussels","All European Academies","Meeting with the President of ALLEA"
"Carlos  Moedas","30/03/2015","Brussels","European Association of Research and Technology Organisations","Meeting with the President of EARTO"
"Carlos  Moedas","30/03/2015","Brussels","Eurometaux","Meeting with the Director of Eurometaux"
"Carlos  Moedas","19/03/2015","Brussels","ChinaEU                                                                                    ZTE Europe","EU - China cooperation in the field of telecommunications"
"Carlos  Moedas","18/03/2015","Brussels","World Economic Forum","Meeting with World Economic Forum"
"Carlos  Moedas","13/03/2015","Brussels","SONAE","High Level Forum on Retail Competitiveness Innovation Subgroup"
"Carlos  Moedas","12/03/2015","Brussels","European Venture Fund Investors Network","European Fund for Strategic Investments"
"Carlos  Moedas","06/03/2015","Brussels","THALES","Research and Innovation policies; public private partnerships"
"Carlos  Moedas","04/03/2015","Brussels","CIP - Confederação Empresarial de Portugal","Meeting with the President of CIP"
"Carlos  Moedas","27/02/2015","Brussels","European Chemical Industry Council","Sustainability of the European chemical industry"
"Carlos  Moedas","23/02/2015","Brussels","Galp Energia, SGPS, SA","Oil and gas R&I in Portuguese-speaking countries"
"Carlos  Moedas","13/02/2015","Brussels","Conference of European Schools for Advanced Engineering Education and Research","European Research Area"
"Carlos  Moedas","12/02/2015","Brussels","Conseil de Coopération Economique","Energy Union, Digital Single Market, Horizon 2020"
"Carlos  Moedas","05/02/2015","Brussels","Confederação dos Agricultores de Portugal","Horizon 2020 and the Agro-food sector in Portugal"
"Carlos  Moedas","02/02/2015","Brussels","The European Steel Association","Contribution of EU Steel Industry to Research & Innovation"
"Carlos  Moedas","02/02/2015","Brussels","COMITE EUROPEEN des FABRICANTS de SUCRE                                                                                    Conféderation Européenne des Propriétaires Forestiers                                                                                    European Farmers                                                                                    European agri-cooperatives                                                                                    European Producers Union of Renewable Ethanol                                                                                    EuropaBio                                                                                    Forest-based Sector Technology Platform                                                                                    STARCH EUROPE","Meeting with the European Bioeconomy Alliance on the Bioeconomy Strategy"
"Carlos  Moedas","29/01/2015","Brussels","European Private Equity and Venture Capital Association","Contribution of venture capital to Research & Innovation"
"Carlos  Moedas","27/01/2015","Brussels","European Wind Energy Association","Future of Research and Innovation policies in the sector of wind energy"
"Carlos  Moedas","27/01/2015","Brussels","Universidade de Vigo","Cooperation between Galicia and the North of Portugal in R&I"
"Carlos  Moedas","26/01/2015
            	     
            	     	(Cancelled)","Brussels","European Society of Cardiology","Biomedical Research"
"Carlos  Moedas","26/01/2015","Brussels","European Society of Cardiology","Biomedical Research"
"Carlos  Moedas","23/01/2015","Davos","QUALCOMM Inc.","Bilateral with the President and Executive Vice-President"
"Carlos  Moedas","23/01/2015","Davos","Novartis International AG","Bilateral meeting the CEO of Novartis & EFPIA President"
"Carlos  Moedas","23/01/2015","Davos","Johnson & Johnson","Meeting on Ebola research"
"Carlos  Moedas","22/01/2015","Brussels","Bill & Melinda Gates Foundation","Cooperation with the Bill & Melinda Gates Foundation"
"Carlos  Moedas","20/01/2015","Brussels","Turku-Southwest Finland European office","Contribution of Finland universities to the EU Research Agenda"
"Carlos  Moedas","12/01/2015","Brussels","COTEC Portugal - Associação Empresarial para a Inovação","Presentation of COTEC and its activities to promote innovation in Portugal"
"Carlos  Moedas","18/12/2014","Brussels","European Federation of Pharmaceutical Industries and Associations","European industry’s perspective on the future of EU research and innovation policy"
"Carlos  Moedas","16/12/2014","Strasbourg","Ruggero Schleicher-Tappeser                                                                                    Fraunhofer-Gesellschaft                                                                                    Meyer Burger Technology AG","Meeting with MEP C. Turmes on xGWP – European Gigawatt Fab"
"Carlos  Moedas","09/12/2014","Brussels","Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa","Material research in Europe"
"Carlos  Moedas","09/12/2014","Brussels","The Lisbon Council for Economic Competitiveness and Social Renewal asbl","Presentation of the activities of the Lisbon Council"
"Carlos  Moedas","04/12/2014","Brussels","Association des Constructeurs Européens d'Automobiles                                                                                    RENAULT","New technologies in the field of automotive, electric and connected vehicles in globalisation, EUCAR challenges."
"Carlos  Moedas","01/12/2014","Capetown","Bill & Melinda Gates Foundation","European & Developing Countries Clinical Trials Partnership"
"Federica Mogherini","04/03/2015","Berlaymont, Brussels","UniCredit","geopolitical developments"
"Federica Mogherini","03/02/2015","ChinaEu","ChinaEU","discussion on economic cooperation in the run up of the Summit"
"Pierre Moscovici","20/04/2015","Brussels, Belgium","European Newspaper Publishers' Association","TVA et presse en ligne"
"Pierre Moscovici","14/04/2015","Brussels, Belgium","Manufacture Française des Pneumatiques Michelin","compétitivité des entreprises européennes"
"Pierre Moscovici","14/04/2015","Bruxelles","ALSTOM","Situation de l'entreprise"
"Pierre Moscovici","13/04/2015","Paris","Société des Auteurs, Compositeurs et Editeurs de Musique","DSM"
"Pierre Moscovici","13/04/2015","Paris","HERMES INTERNATIONAL","DSM"
"Pierre Moscovici","27/03/2015","Paris","BNP PARIBAS","réforme bancaire et stabilité financière en Europe"
"Pierre Moscovici","20/03/2015","Paris","Suez Environnement","Economie Circulaire"
"Pierre Moscovici","20/03/2015","Bruxelles","GDF Suez","Economie Circulaire"
"Pierre Moscovici","19/03/2015","Brussels, Belgium","Foundation for an Open Society DOTS","Current european economic and fiscal issues"
"Pierre Moscovici","03/03/2015","Bruxelles","L'Oréal                                                                                    LVMH Publica","Parfumerie fine et dénaturants"
"Pierre Moscovici","19/02/2015","Bruxelles","Groupe des Grandes Entreprises françaises","Politique économique de la nouvelle Commission"
"Pierre Moscovici","19/02/2015","Bruxelles","ELECTRICITE DE FRANCE","Union Européenne de l'Energie"
"Pierre Moscovici","12/02/2015","Bruxelles","General Electric Company","Union européenne de l'Energie"
"Pierre Moscovici","22/01/2015","Davos","ArcelorMittal","Meeting with Mr Lakshmi Mittal"
"Pierre Moscovici","22/01/2015","Davos","George Soros","Meeting with George Soros"
"Pierre Moscovici","22/01/2015","Davos","Bridgewater","Meeting with Mr Dalio, Chairman, Bridgewater Associates"
"Pierre Moscovici","22/01/2015","Davos","Facebook","Meeting with Mr Kaplan, Vice-President Global, Facebook"
"Pierre Moscovici","22/01/2015","Davos","Bloomberg","Meeting with Mr Grauer, Global Chairman"
"Pierre Moscovici","22/01/2015","Davos","World Economic Forum","Meeting with Mr. Schwab, World Economic Forum"
"Pierre Moscovici","22/01/2015","Davos","Google","Meeting with Mr Drummond, Senior Vice President of Corporate Development, Google"
"Pierre Moscovici","16/01/2015","Paris","ELECTRICITE DE FRANCE","Union de l'Energie"
"Tibor Navracsics","30/04/2015","Brussels","The American College of Greece","Higher Education policy in Greece"
